Alemande	alemande
All Well	all-well
Ashleys Ride	ashleys-ride
The Banks Of Gray	the-banks-of-gray
The Blue Bells Of Challon	the-blue-bells-of-challon
Bonapartes March	bonapartes-march
Boney Lads	boney-lads
Boring The Leather	boring-the-leather
The Bottom Of The Punch Bowl	the-bottom-of-the-punch-bowl
The Brounswick Waltze	the-brounswick-waltze
The Buff And Blue	the-buff-and-blue
The Caledonean Hunt	the-caledonean-hunt
The Caledonean Laddie	the-caledonean-laddie
The Collage Hompipe	the-collage-hompipe
Cottilion	cottilion
Courtneys Rando	courtneys-rando
Cumberland House	cumberland-house
The Curly Locks	the-curly-locks
Del Caros Fancy	del-caros-fancy
Divel Among The Taylors	divel-among-the-taylors
The Dorchester March	the-dorchester-march
Downeys Lock	downeys-lock
Duke Of Gordons Reel	duke-of-gordons-reel
Fa La La	fa-la-la
Farewell To Limerick or The Croppys Retreat	farewell-to-limerick-or-the-croppys-retreat
Fox Hunters Jigg	fox-hunters-jigg
From Night Till Morn	from-night-till-morn
The Galley Slave	the-galley-slave
Garisson Frolick	garisson-frolick
German Waltz	german-waltz
Go To The Devil And Shake Yourself	go-to-the-devil-and-shake-yourself
The Gooses Minuet	the-gooses-minuet
Hanover Waltz	hanover-waltz
Hear Gunner Watts	hear-gunner-watts
Hey My Nancy	hey-my-nancy
The Highland Man	the-highland-man
Hornpipe	hornpipe
Hun Haydn	hun-haydn
I Am A Brisk And Sprightly Lad	i-am-a-brisk-and-sprightly-lad
James Bailey In Bombay	james-bailey-in-bombay
Jigg Poltague	jigg-poltague
Kiss In The Furz	kiss-in-the-furz
Kiss My Lady	kiss-my-lady
Kiss My Wife And Welcome	kiss-my-wife-and-welcome
Kissing And Drinking	kissing-and-drinking
Kissing And Flirting	kissing-and-flirting
La Viritty	la-viritty
Lady Bruces Reel	lady-bruces-reel
Lady Campbells Delight	lady-campbells-delight
Lady Garners Troop	lady-garners-troop
Lady Hardwicks Reel	lady-hardwicks-reel
Lady Ramsey	lady-ramsey
The Lass Of Pattys Mill	the-lass-of-pattys-mill
Laural and Lindsay	laural-and-lindsay
Life Like A Sea In Constant Motion	life-like-a-sea-in-constant-motion
Light Horse Reel	light-horse-reel
Listen To The Voice Of Love	listen-to-the-voice-of-love
Litten Hornpipe	litten-hornpipe
Little Fannys Love	little-fannys-love
Lord Cornwallis Jigg	lord-cornwallis-jigg
Lord Cornwallis March	lord-cornwallis-march
Lord McDonalds Reel	lord-mcdonalds-reel
Lord McDonalds Reel (Second Setting)	lord-mcdonalds-reel-second-setting
Lord Summers Reel	lord-summers-reel
Lummdon	lummdon
Maidens March	maidens-march
Mairy La More	mairy-la-more
Marscillois March	marscillois-march
Mgo And Daga	mgo-and-daga
The Miners Of Wicklow	the-miners-of-wicklow
Miss Bairds Of New Bythe Straspey	miss-bairds-of-new-bythe-straspey
Miss Blairs Reel	miss-blairs-reel
Miss Campbells Reel	miss-campbells-reel
Miss Carberys Reel	miss-carberys-reel
Miss Flora McDonalds Reel	miss-flora-mcdonalds-reel
Miss Manns Reel	miss-manns-reel
Mrs. Murrays Reel	mrs.-murrays-reel
My Love Shes But A Lassie Yet	my-love-shes-but-a-lassie-yet
Navy Dance	navy-dance
No Title I	no-title-i
No Title II	no-title-ii
The Nyph	the-nyph
Off She Goes	off-she-goes
Shake Yourself”	shake-yourself”
Over Young To Marry	over-young-to-marry
Patricks Hill	patricks-hill
Phil Ormand	phil-ormand
The Ploughboy	the-ploughboy
Primrose Gaol	primrose-gaol
Prince William Of Auguster	prince-william-of-auguster
Princess Of Wales Minuet	princess-of-wales-minuet
The Royal Hunt	the-royal-hunt
Royal Review	royal-review
The Ruffians Rant	the-ruffians-rant
St. Catherines Lane At Five	st.-catherines-lane-at-five
Scotts Reel	scotts-reel
The Scullion Peasant	the-scullion-peasant
Ship New Rigged	ship-new-rigged
Since Then I’m Doomed	since-then-im-doomed
Sir David Hunter Blair	sir-david-hunter-blair
Sir Roger DeCoverlys Reel	sir-roger-decoverlys-reel
Speed The Plow	speed-the-plow
The Thorn	the-thorn
The Village Maid	the-village-maid
Warrens Victory	warrens-victory
Welcome Here Again	welcome-here-again
When In War On The Ochen	when-in-war-on-the-ochen
Devil And Shake Yourself	devil-and-shake-yourself
The White Cochead	the-white-cochead
Wild Irish Man	wild-irish-man
William Litten Country Dance	william-litten-country-dance
Within A Mile Of Edinbrow Town	within-a-mile-of-edinbrow-town
The Woodford Ship	the-woodford-ship
Woodlands	woodlands
The Wounded Huzur	the-wounded-huzur
Yankee Doodle	yankee-doodle
The Yellow Hair Ladie	the-yellow-hair-ladie
